name,lat_min,lat_max,lon_min,lon_max,city,state
Tohono Chul,32.3384361022505,32.3407056560166,-110.982749444311,-110.979922683099,Tucson,AZ
Desert Botanical Garden,33.4589650925722,33.4638284674300,-111.948389862409,-111.941072796621,Phoenix,AZ
ABQ BioPark Botanic Garden,35.0916221574527,35.0954908702690,-106.685045961713,-106.678120922381,Albuquerque,NM
Balboa Park,32.7197402478341,32.7409528140192,-117.159345994904,-117.134328251677,San Diego,CA
El Paso Botanical Gardens,31.7673300285281,31.7705994349851,-106.445984918112,-106.440743783075,El Paso,TX
Springs Preserve,36.1663748993584,36.1729296791271,-115.192461266204,-115.188040564407,Las Vegas,NV
Living Desert,33.6967433055242,33.7032380111176,-116.375697654903,-116.370510167975,Palm Desert,CA
Tucson Botanical Gardens,32.24793020351969,32.248918308475716,-110.9096736472684,-110.90762343403709,Tucson,AZ
San Diego Botanic Garden,33.0509180213737,33.0562424806886,-117.282671429046,-117.279120472693,San Diego,CA
Chihuahuan Desert Gardens,31.7689224924295,31.7698757396211,-106.506542428841,-106.505385022178,El Paso,TX
