"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID"
31.769216,-106.443314,"Hesperiidae","Hylephila phyleus",2022,5,4,"iNaturalist research-grade observations","3773086123"
31.769138,-106.443038,"Hesperiidae","Lerodea eufala",2021,9,19,"iNaturalist research-grade observations","3384415602"
31.768145,-106.441308,"Hesperiidae","Hylephila phyleus",2021,9,19,"iNaturalist research-grade observations","3384425713"
31.768137,-106.441313,"Hesperiidae","Lerodea eufala",2021,9,19,"iNaturalist research-grade observations","3384899678"
31.768147,-106.441313,"Hesperiidae","Hylephila phyleus",2021,9,19,"iNaturalist research-grade observations","3384949714"
31.769383,-106.444871,"Hesperiidae",NA,2021,10,24,"iNaturalist research-grade observations","3456564406"
31.768572,-106.44252,"Nymphalidae","Polygonia interrogationis",2021,9,19,"iNaturalist research-grade observations","3384430571"
31.769997,-106.442688,"Nymphalidae","Vanessa cardui",2020,9,6,"iNaturalist research-grade observations","2862347898"
31.768545,-106.442597,"Papilionidae","Papilio multicaudata",2021,9,19,"iNaturalist research-grade observations","3384711603"
31.769138,-106.443055,"Pieridae","Abaeis nicippe",2021,9,19,"iNaturalist research-grade observations","3385100628"
31.768471,-106.441507,"Pieridae","Abaeis nicippe",2021,10,6,"iNaturalist research-grade observations","3398834180"
