"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
36.245863,-115.23442,NA,"Hesperiidae","Hylephila phyleus",2021,5,4,"iNaturalist research-grade observations","3784889350",NA
36.169941,-115.13983,NA,"Hesperiidae",NA,2020,6,27,"iNaturalist research-grade observations","2868259398",NA
36.304097,-115.218685,NA,"Hesperiidae","Hylephila phyleus",2019,9,3,"iNaturalist research-grade observations","2422897801",NA
36.211497,-115.247368,NA,"Hesperiidae","Erynnis funeralis",2016,6,18,"iNaturalist research-grade observations","1273848752",NA
36.324613,-115.264245,NA,"Hesperiidae","Hylephila phyleus",2015,8,15,"iNaturalist research-grade observations","1262368036",NA
36.322871,-115.26289,1,"Hesperiidae","Copaeodes aurantiaca",1992,4,20,"eButterfly","3427518437",NA
36.190422,-115.318237,NA,"Lycaenidae","Atlides halesus",2021,6,9,"iNaturalist research-grade observations","3391655433",NA
36.169361,-115.19069,NA,"Lycaenidae","Hemiargus ceraunus",2021,10,22,"iNaturalist research-grade observations","3399295170",NA
36.245187,-115.234567,NA,"Lycaenidae","Strymon melinus",2020,2,27,"iNaturalist research-grade observations","2576444455",NA
36.207205,-115.35602,NA,"Lycaenidae","Leptotes marina",2020,4,19,"iNaturalist research-grade observations","2609143070",NA
36.167191,-115.067856,NA,"Lycaenidae","Apodemia palmerii",2019,5,4,"iNaturalist research-grade observations","2818513858","Adult"
36.159698,-115.179169,NA,"Lycaenidae","Strymon melinus",2019,7,24,"iNaturalist research-grade observations","2294674067",NA
36.303939,-115.219243,NA,"Lycaenidae","Strymon melinus",2015,4,18,"iNaturalist research-grade observations","1088955401",NA
36.327448,-115.26182,NA,"Lycaenidae","Brephidium exilis",2014,12,10,"iNaturalist research-grade observations","1052591784",NA
36.173664,-115.190582,NA,"Nymphalidae","Siproeta stelenes",2022,5,2,"iNaturalist research-grade observations","3772871648",NA
36.164432,-115.279158,NA,"Nymphalidae","Cynthia annabella",2022,5,9,"iNaturalist research-grade observations","3773059467",NA
36.255225,-115.234369,NA,"Nymphalidae","Danaus gilippus",2021,5,16,"iNaturalist research-grade observations","3117858290",NA
36.322617,-115.269491,NA,"Nymphalidae","Cynthia annabella",2021,9,30,"iNaturalist research-grade observations","3384902202","Adult"
36.32322,-115.261978,NA,"Nymphalidae","Cynthia annabella",2021,9,30,"iNaturalist research-grade observations","3391649883",NA
36.323333,-115.266315,NA,"Nymphalidae","Vanessa atalanta",2021,10,26,"iNaturalist research-grade observations","3415885084",NA
36.215552,-115.285111,NA,"Nymphalidae","Vanessa cardui",2021,11,25,"iNaturalist research-grade observations","3456778982",NA
36.324921,-115.261065,NA,"Nymphalidae","Vanessa cardui",2021,11,26,"iNaturalist research-grade observations","3456868947","Adult"
36.317102,-115.269008,NA,"Nymphalidae","Vanessa cardui",2020,3,16,"iNaturalist research-grade observations","2580322114",NA
36.207478,-115.352128,NA,"Nymphalidae","Chlosyne acastus",2020,4,19,"iNaturalist research-grade observations","2609121901",NA
36.168375,-115.227853,NA,"Nymphalidae","Danaus gilippus",2020,6,8,"iNaturalist research-grade observations","2641328211","Adult"
36.323722,-115.262426,NA,"Nymphalidae","Nymphalis antiopa",2019,3,7,"iNaturalist research-grade observations","2013702689",NA
36.193317,-115.276362,NA,"Nymphalidae","Vanessa cardui",2019,3,12,"iNaturalist research-grade observations","2013741153","Adult"
36.323202,-115.219275,NA,"Nymphalidae","Vanessa cardui",2019,3,22,"iNaturalist research-grade observations","2234746884","Adult"
36.303992,-115.21917,NA,"Nymphalidae","Cynthia annabella",2019,3,22,"iNaturalist research-grade observations","2234752544",NA
36.325341,-115.263982,NA,"Nymphalidae","Vanessa cardui",2019,3,28,"iNaturalist research-grade observations","2234810723","Adult"
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2019,5,31,"iNaturalist research-grade observations","3113391855",NA
36.168052,-115.188835,NA,"Nymphalidae","Danaus gilippus",2019,6,10,"iNaturalist research-grade observations","2265863513",NA
36.169941,-115.13983,NA,"Nymphalidae","Nymphalis antiopa",2018,1,31,"iNaturalist research-grade observations","1807293439",NA
36.162169,-115.191462,NA,"Nymphalidae","Nymphalis antiopa",2018,4,11,"iNaturalist research-grade observations","1883511892",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113517850",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113532871",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113542869",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,11,"iNaturalist research-grade observations","3113489923",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,23,"iNaturalist research-grade observations","3113498917",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113533875",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113686871",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,23,"iNaturalist research-grade observations","3113699851",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113702873",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2018,11,24,"iNaturalist research-grade observations","3113405880",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2017,9,27,"iNaturalist research-grade observations","3113703882",NA
36.201297,-115.197774,NA,"Nymphalidae","Danaus plexippus",2017,10,3,"iNaturalist research-grade observations","3314259857",NA
36.172514,-115.188716,NA,"Nymphalidae","Danaus plexippus",2016,9,29,"iNaturalist research-grade observations","3113519883",NA
36.168221,-115.189309,NA,"Nymphalidae",NA,2015,5,1,"iNaturalist research-grade observations","1088965720",NA
36.168221,-115.189363,NA,"Nymphalidae","Danaus plexippus",2015,5,1,"iNaturalist research-grade observations","1088965747","Adult"
36.168212,-115.189245,NA,"Nymphalidae","Danaus plexippus",2015,5,1,"iNaturalist research-grade observations","1143517840","Adult"
36.162684,-115.142758,NA,"Nymphalidae","Danaus plexippus",2014,6,4,"iNaturalist research-grade observations","1837757342","Adult"
36.168255,-115.189287,NA,"Papilionidae","Battus philenor",2015,5,1,"iNaturalist research-grade observations","1262366761",NA
36.232427,-115.328222,NA,"Papilionidae","Papilio rumiko",2014,10,20,"iNaturalist research-grade observations","1038336505",NA
36.162739,-115.344631,NA,"Pieridae","Abaeis nicippe",2021,9,19,"iNaturalist research-grade observations","3384513644",NA
36.287095,-115.327042,NA,"Pieridae","Nathalis iole",2021,9,11,"iNaturalist research-grade observations","3384675482",NA
36.303488,-115.337075,NA,"Pieridae","Pontia protodice",2020,5,28,"iNaturalist research-grade observations","3044920515",NA
