"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID","lifeStage"
36.169361,-115.19069,"Lycaenidae","Hemiargus ceraunus",2021,10,22,"iNaturalist research-grade observations","3399295170",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2019,5,31,"iNaturalist research-grade observations","3113391855",NA
36.168052,-115.188835,"Nymphalidae","Danaus gilippus",2019,6,10,"iNaturalist research-grade observations","2265863513",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113517850",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113532871",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,4,11,"iNaturalist research-grade observations","3113542869",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,11,"iNaturalist research-grade observations","3113489923",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,23,"iNaturalist research-grade observations","3113498917",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113533875",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113686871",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,23,"iNaturalist research-grade observations","3113699851",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,10,25,"iNaturalist research-grade observations","3113702873",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2018,11,24,"iNaturalist research-grade observations","3113405880",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2017,9,27,"iNaturalist research-grade observations","3113703882",NA
36.172514,-115.188716,"Nymphalidae","Danaus plexippus",2016,9,29,"iNaturalist research-grade observations","3113519883",NA
36.168221,-115.189309,"Nymphalidae",NA,2015,5,1,"iNaturalist research-grade observations","1088965720",NA
36.168221,-115.189363,"Nymphalidae","Danaus plexippus",2015,5,1,"iNaturalist research-grade observations","1088965747","Adult"
36.168212,-115.189245,"Nymphalidae","Danaus plexippus",2015,5,1,"iNaturalist research-grade observations","1143517840","Adult"
36.168255,-115.189287,"Papilionidae","Battus philenor",2015,5,1,"iNaturalist research-grade observations","1262366761",NA
